galaxy name	Chi^2/df	rs	c200	v200	data points	galaxy_type
UGC06818	0.3339341603876792	5.898814976533781	0.04868634821781521	5.411444124070197	8	Sm
UGC06917	0.03447886957989871	3.2982425668423594	25.31589395572082	72.34743764369591	11	Sm
UGC06923	0.11312380833032627	2.1877724289605966	17.04201422065726	62.65474332393544	6	Im
UGC06930	0.03807938954003699	3.5750343216877676	17.707550133824896	80.74866215184232	10	Sd
UGC06973	0.18197388638484313	1.1986840849285993	0.025249979983036724	5.608201491184495	9	Sab
UGC06983	0.07814094033688129	3.0621584808724784	31.605930279277306	68.80334185255992	17	Scd
UGC07089	0.06040433741765223	4.489092462099118	50.478216049605976	42.904092392147916	12	Sdm
UGC07125	0.062334738944640034	4.3922785515189755	50.945414944627366	34.57270645019516	13	Sm
UGC07151	0.04277159518842104	1.5609408807286336	0.02936978138462568	2.640991745240056	11	Scd
UGC07232	0.030071019084743213	1.0060630522604062	0.0646432586174988	4.923796400047596	4	Im
UGC07261	0.06215689962664844	1.4803984476569203	20.847788165871503	52.68305971087339	7	Sdm
UGC07323	0.19499803976709956	3.8952271387532056	40.29991506050504	54.98462155900887	10	Sdm
UGC07399	0.09411747383713404	1.5070005796085815	0.1238189901801151	14.666065639603858	10	Sdm
UGC07524	0.13166120955359256	3.8749668906426	0.0827046931216943	8.017882045425026	31	Sm
UGC07559	0.004702446443749848	1.6266400137698656	0.08109502475776352	3.5060643462149828	7	Im
UGC07577	0.03660200736408111	2.748501646308957	0.16696141008999477	5.811719428222935	9	Im
UGC07603	0.015791835584741683	1.2526271045386699	22.37539263861132	44.243647078214	12	Sd
UGC07608	0.04465541592447868	3.028243467324617	0.07721457778783894	6.9989259723014	8	Im
UGC07690	0.009901318511862588	0.5818742943137168	0.05580514332678863	4.084690202110654	7	Im
UGC07866	0.029124134034123467	1.0536094829663845	0.04055805727106947	1.5989390349585388	7	Im
UGC08286	0.03763505904165022	1.761052013600848	0.14211694274079764	13.831213381989482	17	Scd
UGC08490	0.12236026017986955	1.1620608762337075	0.01746160046538741	1.7782715530570583	30	Sm
UGC08550	0.06711462015251371	1.155572863131731	0.024594373075074193	1.6820133979971257	11	Sd
UGC08699	1.9501314861535266	0.6958409821725715	0.023779483870842555	6.425654418368563	41	Sab
UGC08837	0.03136998554863833	7.3133410164059045	0.07046716761522222	7.764078199171875	8	Im
UGC09037	0.07667202438892445	6.324907398707011	0.07791269255003569	14.440761382340693	22	Scd
UGC09133	5.545242922919005	1.7340041891155153	0.023653730721051605	9.464168817670245	68	Sab
UGC09992	0.027776952586605813	0.7220843322033429	0.05998935682195161	2.468676344829125	5	Im
UGC10310	0.007333656222900903	2.3654817997495328	0.01871192742849604	1.687378758569806	7	Sm
UGC11455	0.1608385769861813	6.688386212843667	0.013084304077984972	4.570838423789921	36	Scd
UGC11557	0.22578307799888517	4.710433981273678	36.57912082812935	53.64429180979681	12	Sdm
UGC11820	0.6145710251157136	2.070054116313016	0.04229511462544526	4.035795734131511	10	Sm
UGC11914	0.4670762643628511	0.7349609527455492	0.09036499422537227	33.27717942375042	65	Sab
UGC12506	1.0342139009115416	4.95919465843031	0.03926113694764659	12.233890132850226	31	Scd
UGC12632	0.06243349152662524	3.0689820865834148	17.799225805954805	53.4473586324661	15	Sm
UGC12732	0.2915409776195944	4.004106581591417	28.120089590309124	57.35631955449023	16	Sm
UGCA281	0.007016483626544647	0.4878749960602438	0.09793155202889015	3.5719095962911456	7	BCD
UGCA442	0.045088410803473214	2.422298390236432	44.580437528781985	32.89149070120033	8	Sm
UGCA444	0.04992594916156997	1.3084166176521683	0.21198964791928693	9.038123645571853	36	Im
